type;produkt;periode;periode_start;periode_stopp;forbruk_kwh;sum
strøm;fastbeløp;februar;01.02.2020;29.02.2020;;27
strøm;innkjøpspris;februar;01.02.2020;29.02.2020;1216;281,68
strøm;trippelgaranti;februar;01.02.2020;29.02.2020;;43,5
nettleie;energiledd;februar;01.02.2020;29.02.2020;1216;572,86
nettleie;fastledd;februar;01.02.2020;29.02.2020;;183,34
strøm;fastbeløp;mars;01.03.2020;31.03.2020;;27
strøm;innkjøpspris;mars;01.03.2020;31.03.2020;1267;232,54
strøm;trippelgaranti;mars;01.03.2020;31.03.2020;;40,5
nettleie;energiledd;mars;01.03.2020;31.03.2020;1267;596,71
nettleie;fastledd;mars;01.03.2020;31.03.2020;;183,34
strøm;fastbeløp;januar;01.01.2020;31.01.2020;;27
strøm;innkjøpspris;januar;01.01.2020;31.01.2020;1425;541,07
strøm;trippelgaranti;januar;01.01.2020;31.01.2020;;46,5
nettleie;energiledd;januar;01.01.2020;31.01.2020;1425;671,27
nettleie;fastledd;januar;01.01.2020;31.01.2020;;183,34
strøm;fastbeløp;desember;01.12.2019;31.12.2019;;27
strøm;innkjøpspris;desember;01.12.2019;31.12.2019;1268;712,43
strøm;trippelgaranti;desember;01.12.2019;31.12.2019;;46,5
nettleie;energiledd;desember;01.12.2019;31.12.2019;1268;592,49
nettleie;fastledd;desember;01.12.2019;31.12.2019;;183,34
strøm;fastbeløp;november;01.11.2019;30.11.2019;;27
strøm;innkjøpspris;november;01.11.2019;30.11.2019;1447;887,29
strøm;trippelgaranti;november;01.11.2019;30.11.2019;;45
nettleie;energiledd;november;01.11.2019;30.11.2019;1447;676,01
nettleie;fastledd;november;01.11.2019;30.11.2019;;183,34
strøm;fastbeløp;oktober;01.10.2019;31.10.2019;;27
strøm;innkjøpspris;oktober;01.10.2019;31.10.2019;1059;570,58
strøm;trippelgaranti;oktober;01.10.2019;31.10.2019;;40,5
nettleie;energiledd;oktober;01.10.2019;31.10.2019;1059;494,59
nettleie;fastledd;oktober;01.10.2019;31.10.2019;;183,34
strøm;fastbeløp;september;01.09.2019;30.09.2019;;19
strøm;innkjøpspris;september;01.09.2019;30.09.2019;647;347,91
strøm;trippelgaranti;september;01.09.2019;30.09.2019;;0
nettleie;energiledd;september;01.09.2019;30.09.2019;647;302,21
nettleie;fastledd;september;01.09.2019;30.09.2019;;183,34
strøm;fastbeløp;august;01.08.2019;31.08.2019;;19
strøm;innkjøpspris;august;01.08.2019;31.08.2019;437;230,75
strøm;trippelgaranti;august;01.08.2019;31.08.2019;;0
nettleie;energiledd;august;01.08.2019;31.08.2019;437;213,37
nettleie;fastledd;august;01.08.2019;31.08.2019;;183,34
strøm;fastbeløp;juli;05.07.2019;31.07.2019;;16,46
strøm;innkjøpspris;juli;05.07.2019;31.07.2019;314;147,09
strøm;trippelgaranti;juli;05.07.2019;31.07.2019;;0
nettleie;energiledd;juli;05.07.2019;31.07.2019;314;146,88
nettleie;fastledd;juli;05.07.2019;31.07.2019;;159,68
